query,answer
"Когда утвержден ЕОСЗ?","Утвержден решениемнаблюдательного советаГоскорпорации «Росатом»от 07 февраля 2012 № 37"
"Какие функции и полномочия в установленных ЕОСЗ случаях заказчик может передать уполномоченному органу? ","  осуществляют в установленных Стандартом случаях функции и полномочия заказчика по закупочной деятельности, переданные на основании договора или соглашения между заказчиком и УО, заключаемых в соответствии со Стандартом и, при необходимости, корпоративными процедурами."
"Какие функции выполняет закупочная комиссия","осуществляют функции по принятию решений в рамках конкретной закупки, определенные приложением № 4. Состав закупочной комиссии и порядок ее работы определяются распорядительными документами заказчика (либо УО, если данная функция передана ему) с учетом положений приложения № 4."
"В каких случаях можно внести изменения в ГПЗ?","В течение календарного года возможны корректировки и изменения утвержденной ГПЗ в связи с :а) корректировками бюджета, инвестиционной, производственной и иных программ и мероприятий заказчика, если данные корректировки меняют сведения, указанные в ГПЗ; б) изменением предмета, способа, формы закупки, сроков приобретения продукции и исполнения договора, указанных в ГПЗ, в том числе при проведении повторной закупки;в) при изменении НМЦ более чем на 10% по сравнению с плановой стоимостью закупки, сделанном в процессе подготовки и утверждения извещения и документации о закупке."
"Что относится к существенным условиям договора","сведения, составляющие коммерческую тайну или служебную информацию ограниченного распространения, что подтверждено заключением ПДТК"
"Что должен содержать запрос ТКП?","условия исполнения договора по совокупности критериев, установленных в документации "
"Когда можно закупать продукцию без аналогов и эквивалентов?","в следующих случаях:(1) поставки вооружения, военной и специальной техники, военного имущества, принятых на вооружение, снабжение и/или в эксплуатацию;(2) если такие товарные знаки, знаки обслуживания, патенты, полезные модели, промышленные образцы, наименования места происхождения товара или наименования производителей указаны в государственном контракте и/или в договоре, заключенном заказчиком в целях выполнения ГОЗ."
"Когда нужно направлять дозапрос участнику закупки?","в случаях: (а) отсутствия в составе заявки требуемых документов и сведений; (б) предоставление требуемых документов и сведений не в полном объеме;(в) наличия неустранимых противоречий в представленных документах и сведениях;(г) нечитаемости представленных документов и сведений"
"В течение какого времени заказчик обязан осуществить разъяснение положений документации об открытой конкурентной закупке и разместить их в ЕИС?"," Ответ на запрос, организатор закупки обязуется официально разместить в тех же источниках, что и извещение, и документацию о закупке в течение 3 (трех) рабочих дней с даты поступления запроса и не позднее, чем за:(1) 2 (два) рабочих дня до даты окончания срока подачи заявок при проведении конкурса, аукциона / редукциона;(2) 1 (один) рабочий день до даты окончания срока подачи заявок при проведении запроса предложений / тендера, запроса котировок / запроса цен"
"Где найти формуэексертного заключения?","Эксперты представляют членам ЗК свои заключения, содержащие экспертное мнение о степени соответствия представленных заявок требованиям, установленным в извещении, документации о закупке, о выгодности предложенных условий, а также сравнительный анализ поступивших заявок с целью их оценки и сопоставления.В случае если эксперт заявляет о предпочтительности той или иной заявки, в заключении должны быть указаны обоснование предлагаемого решения, а также конкретные положения заявки участника закупки, превосходящие аналогичные положения заявок иных участников. Экспертные заключения оформляются документально и хранятся вместе с протоколами заседаний ЗК. Экспертные заключения не подлежат официальному размещению."
"Когда нужно проводить аудит достоверности данных?"," На отборочной стадии закупки"
"Какие требования предъявляются к аудиторам достоверности данных?","Требования при аудите достоверности данных в отношении предприятий-подрядчиков, сервисных предприятий утверждаются распорядительными документами генерального директора Корпорации и в дальнейшем указываются в закупочной документации"
"В уставном капитале акционерного общества 75% акций принадлежит Госкорпорации "Росатом". Является ли такое общество заказчиком согласно Закону №223-ФЗ?","да, заказчиком являются госкорпорации, госкомпании, хозяйственные общества и их дочерние и “внучатые” предприятия, в уставном капитале которых доля государственного участия превышает 50%."
"В какой разрешающий орган должен обащатся заказчик 3 типа?","Комиссия Корпорации и Комиссии ГО ХК (ИС)"
"В результате подготовки к закупке стоимость продукции увеличилась на 5%. Обязан ли заказчик в соответствии ЕОСЗ осуществить корректировку ГПЗ?","нет. при изменении НМЦ более чем на 10% по сравнению с плановой стоимостью закупки, сделанном в процессе подготовки и утверждения извещения и документации о закупке вносится корректировка"
"Предусмотрена ли Законом №223-ФЗ обязанность заказчика обосновывать начальную (максимальную) цену?","Норма эта была введена Федеральным законом от 05.04.2021 N 86-ФЗ (далее – Закон N 86-ФЗ) и действует с 16 апреля 2021 года. Эта новация предусматривает, что заказчики по Закону N 223-ФЗ должны обосновывать начальные цены своих закупок"
"В каких случаях заказчик обязан установить требование об обеспечении договора?","Заказчик вправе его установить только для закупок с начальной максимальной ценой договора не менее 5 млн рублей. Нет никакого ограничения по способу закупки. По 223 закону обеспечение заявки может быть установлено и при конкурсе, и при аукционе, и при запросе предложения, и при запросе котировок. То есть имеет значение максимальная цена договора. Если цена договора превышает 5 млн рублей, установленный размер обеспечения заявки будет не более 5% начальной максимальной цены договора."
"В каких случаях проводится конкурентная закупка в многоэтапной форме? ","В случаях, когда заказчик до начала закупки не имеет возможности установить требования к закупаемой продукции и условиям заключаемого договора, по разрешению генерального директора Корпорации или РО проводится конкурентная закупка в многоэтапной форме"
"В течение какого срока со дня заключения договора с победителем закупки ему возвращается обеспечение заявки на участие в закупке?","Денежные средства, внесенные в качестве обеспечения заявки на участие в закупке, возвращаются на счет участника закупки в течение не более чем 10 рабочих дней со дня наступления одного из следующих случаев:подписание итогового протокола (за исключением победителя закупки и участника закупки, заявке на участие в закупке которого присвоен второй порядковый номер);подписание договора (участнику закупки, с которым заключается договор, и участнику закупки, заявке на участие в закупке которого присвоен второй порядковый номер);отмена закупки;отзыв заявки на участие в закупке до окончания срока подачи заявок;получение заявки на участие в закупке после окончания срока подачи заявок;отказ заказчика от заключения договора с участником закупки;подписание протокола рассмотрения заявок и протокола отстранения от участия в процедуре закупки - участникам закупки, которым отказано в допуске к участию в процедуре закупки либо которые отстранены от закупки;окончание приема заявок - участникам закупки, заявки которых оставлены без рассмотрения, а также участникам, отозвавшим свои заявки. Возврат банковской гарантии в указанных случаях заказчиком предоставившему ее лицу или гаранту не осуществляется, взыскание по ней не производится."
"В каких случаях конкурентная закупка признается несостоявшейся?","В случае, если по окончании срока подачи заявок на участие в конкурентной закупке подана только одна заявка или не подано ни одной такой заявки, конкурентная закупка признается несостоявшейся"
Какие документы необходимо предоставить для соблюдения требований закона 223-ФЗ и связанных с ним нормативных актов?,"К размещению в соответствии с Законом 223-ФЗ и принятыми в его развитие нормативными правовыми актами требуются следующие документы:  1. Заявка на участие в закупке, которая должна содержать информацию о компании-участнице и ее полномочиях.  2. Документы, подтверждающие соответствие компании-участницы требованиям, установленным законом 223-ФЗ. К таким документам обычно относятся:     - Свидетельство о государственной регистрации юридического лица или индивидуального предпринимателя.       - Справка из Единого государственного реестра юридических лиц (ЕГРЮЛ) или Единого государственного реестра индивидуальных предпринимателей (ЕГРИП).       - Свидетельство о постановке на налоговый учет.       - Документы, подтверждающие финансовую устойчивость компании (отчетность, справки из банков и т. д.).  3. Документы, подтверждающие наличие соответствующего опыта работы или квалификации у компании-участницы. Это могут быть референции, сертификаты, лицензии и прочие документы, демонстрирующие профессиональные навыки.  4. Техническое задание или техническое предложение, содержащие описание предлагаемой продукции, работ или услуг, а также их технические характеристики.  5. Планы или сметы затрат, основанные на требованиях, предъявляемых к размещению в соответствии с 223-ФЗ. Эти документы должны содержать информацию о стоимости предлагаемых продукции, работ или услуг.  6. Прочие документы, указанные в конкретных требованиях к размещению, включая документы, удостоверяющие полномочия представителей компании-участницы.  Ошибка: текст слишком длинный. Повторите запрос более кратко."
Какая информация должна быть размещена заказчиками I группы в установленные сроки?,"- Описание предмета закупки - Требования к участникам закупки - Сметная стоимость предмета закупки - Сроки выполнения работ или оказания услуг - Порядок подачи заявок на участие в закупке - Порядок рассмотрения и оценки заявок - Наименование, адрес и контактные данные заказчика - Информацию о планах и сроках проведения закупок в будущем - Процедуру и условия проведения открытых конкурсов или аукционов - Порядок заключения договора с победителем закупки  Эта информация является обязательной для размещения заказчиками I группы и должна быть предоставлена в указанные сроки, если ничего иное не предусмотрено законодательством или регламентом."
Когда будет утверждено ПЗ и до какого момента оно может быть утверждено?,"Согласно условиям, ПЗ должно быть утверждено в течение нескольких дней, но не позднее 31 декабря текущего года. Однако, эксперты считают, что это не будет случаться в декабре текущего года. В любом случае, после утверждения ПЗ, его реализация должна быть завершена в течение 10 дней."
Каковы сроки утверждения и реализации ПЗИП в течение 10 дней?," : ПЗИП будет утвержден в ближайшие десять дней после его принятия, а также будет утвержден в течение десяти дней после его утверждения."
"Каковы сроки внесения изменений в ПЗ и ПЗИП, и какие могут быть изменения?","Изменения в ПЗ, ПЗИП должны быть внесены в течение 10 (десяти) дней с даты внесения изменений. Таким образом, компания должна быть готова к принятию и внедрению изменений в указанный срок. Это обеспечит своевременную актуализацию и обновление ПЗ и ПЗИП, что позволит улучшить работу системы и повысить ее эффективность."
"Каковы требования к срокам уведомления о изменении количества, объема, цены и сроков исполнения договора в связи с изменениями в протоколе закупки?","Информация об изменении количества, объема, цены приобретаемой продукции и сроках исполнения договора должна быть предоставлена не позднее 10 (десяти) дней со дня внесения соответствующих изменений в договор. Эти изменения могут возникнуть как при заключении, так и при исполнении договора. Важно отметить, что эта информация должна соответствовать протоколу, составленному по итогам проведения закупки (итоговому протоколу)."
Какие требования законодательства к объему и срокам включения информации и документов о закупочном договоре в реестр?,"В соответствии с законодательством, заказчик по результатам закупки обязан предоставить информацию и документы по заключенному договору в установленные сроки и в объеме, необходимом для включения их в реестр договоров. Это важный шаг для обеспечения прозрачности и контроля в государственных и коммерческих закупках. Информация и документы, включаемые в реестр, могут включать в себя копии договора, акты выполненных работ или оказанных услуг, отчеты о проделанной работе, финансовую информацию и другие документы, требуемые в соответствии с законодательством. Важно соблюдать указанные сроки и объем информации, чтобы гарантировать прозрачность и эффективность закупочного процесса."
"Каковы требования к срокам предоставления сведений о договорах, заключенных по результатам закупок, согласно части 19 статьи 4 Закона 223-ФЗ?",Информация об осуществленных закупках и заключенных договорах в соответствии с пунктом 19 статьи 4 Закона 223-ФЗ предоставляется ежемесячно до 10-го числа следующего за отчетным месяцем.
"Какие товары, работы, услуги и закупки обязательно осуществляются у субъектов МСП в течение 10 дней после утверждения перечня, и насколько это правило считается необязательным?","Перечень товаров, работ, услуг, закупки которых осуществляются у субъектов МСП в течение 10 (десяти) дней со дня утверждения, в отношении заказчиков I группы, для которых обязательно ведение такого перечня, включает, но не ограничивается, следующими позициями:  1. Техническое оборудование и комплектующие: компьютеры, принтеры, серверы, сетевое оборудование и др. 2. Программное обеспечение: лицензии на операционные системы, программы для работы с документами, антивирусное ПО и др. 3. Транспортные средства: легковые автомобили, грузовики, автобусы и др. 4. Строительные и ремонтные работы: строительство зданий, монтаж инженерных систем, ремонт и отделка помещений и др. 5. Консалтинговые услуги: юридическое сопровождение, бухгалтерское обслуживание, маркетинговые исследования и др. 6. Товары для офиса: мебель, оргтехника, расходные материалы и др. 7. Услуги по информационной безопасности: аудит, защита данных, восстановление после кибератак и др. 8. Поставка продуктов питания: мясо, молочные продукты, овощи, фрукты и др. 9. Медицинские услуги: консультации врачей, проведение медицинских обследований, лечение и др. 10. Туристические услуги: бронирование гостиниц, организация экскурсий, транспортное обслуживание и др.  Хотя неясно, является ли данный перечень обязательным, эксперты несогласны с необходимостью его ведения, считая, что это может ограничить выбор исполнителей и привести к искусственному повышению цен на товары и услуги."
"Какое законодательство регулирует обязанность заказчиков I группы осуществлять закупки продукции у субъектов МСП, и в каком сроке они должны представить годовой отчет о таких закупках?","Отчет о закупке продукции у субъектов МСП должен быть подготовлен не позднее 1 февраля года, следующего за прошедшим календарным годом. Это требование относится к заказчикам I группы, на которых распространяется законодательство об обязанности осуществления закупок продукции у субъектов МСП."
"Какой срок закупки инновационной и высокотехнологичной продукции для участников рынка, включая МСП, согласно экспертам и законодательству?","Участники рынка инновационной и высокотехнологичной продукции, включая субъектов МСП, обязаны закупать данную продукцию не ранее, чем в феврале года, следующего за отчетным периодом. Согласно экспертам, это позволит эффективно планировать и осуществлять закупки, а также дать возможность заказчикам I группы, подпадающим под обязанность по закону, представить годовой отчет о закупке инновационной и высокотехнологичной продукции, включая участие субъектов МСП, не позднее 1 февраля года, следующего за отчетным периодом."
Каким образом заказчики II группы должны размещать информацию о объеме выручки в ЕИС согласно требованиям Закона 223-ФЗ?,"Заказчики второй группы обязаны размещать информацию о объеме выручки в ЕИС в соответствии с требованиями статьи 1 Закона 223-ФЗ, раздела 2.1. В случае отсутствия прямых указаний от законодательства или положения, заказчики второй группы также обязаны официально размещать эту информацию в ЕИС."
Каким образом организатор закупки обеспечивает одновременное размещение документов на ЭТП и указание места их официального размещения при проведении открытых закупок в электронной форме?,"Организатор закупок при проведении открытых закупок в электронной форме должен одновременно размещать документы, определенные в подпунктах (2) - (8) Положения, на электронной торговой площадке (ЭТП), при этом необходимо явно указывать местонахождение официального размещения таких документов в соответствии с подпунктами 3.1(3) и 3.1(4) Положения. Также, когда проводятся открытые закупки в электронной форме на другой электронной торговой площадке (ЗЭТП), официальное размещение указанных в подпунктах (2) - (8) Положения документов осуществляется согласно требованиям подпунктов 3.1(3) и 3.1(4) Положения."
